Ferdinand Hodler,Art Nouveau (Modern),Swearing to the right,62543.jpg
Paula Modersohn-Becker,Expressionism,Nude Girl ,98183.jpg
Koloman Moser,Post-Impressionism,Hyacinths,77409.jpg
Paul Cezanne,Post-Impressionism,The Blue Vase ,95239.jpg
William-Adolphe Bouguereau,Realism,Elegy,53267.jpg
Paul Cezanne,Post-Impressionism,Little Girl with a Doll,32186.jpg
Konstantinos Volanakis,Realism,Casting the nets,4899.jpg
Paul Cezanne,Post-Impressionism,Portrait of the Artist's Son ,92319.jpg
Paul Cezanne,Post-Impressionism,Portrait of Louis Guillaume,71069.jpg
Alfred Sisley,Impressionism,Garden in Louveciennes in the Snow,72602.jpg
Pietro Longhi,Rococo,The Temptation,86678.jpg
Sven Jonson,Surrealism,Nattlig vision,30449.jpg
James Tissot,Realism,An Interesting Story,89219.jpg
Koloman Moser,Art Nouveau (Modern),Profile of a girl. Preparatory work for a decorative stain in red and green.,68723.jpg
Vincent van Gogh,Realism,Head of an Old Woman with White Cap The Midwife,60631.jpg
Paul Cezanne,Post-Impressionism,Seated Peasant,65427.jpg
Koloman Moser,Art Nouveau (Modern),"Holy Spirit Church in Düsseldorf, design for the right side wall",101111.jpg
Pieter de Hooch,Baroque,Dutch family,65443.jpg
Alice Neel,Expressionism,Hartley & Ginny,38878.jpg
Gustav Klimt,Symbolism,Portrait of a Lady (unfinished),6319.jpg
James Tissot,Realism,Men or Women of the Day No.10 Caricature of The Rev Frederick Temple,43439.jpg
Paula Modersohn-Becker,Post-Impressionism,Still life with milk,59350.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,Portrait of Vincent van Gogh,91991.jpg
Allan Ramsay,Rococo,Robert Wood,51849.jpg
Georg Pauli,Impressionism,French Landscape,33800.jpg
Henri de Toulouse-Lautrec,Impressionism,Self-portrait in front of a mirror,46083.jpg
Paul Cezanne,Post-Impressionism,Self-Portrait with Beret,16134.jpg
Pieter de Hooch,Baroque,Happy drinker,85879.jpg
Henri de Toulouse-Lautrec,Impressionism,Count Alphonse de Toulouse Lautrec driving a four horse hitch,75455.jpg
Theophile Steinlen,Realism,Au Cantonnement,62073.jpg
William Turner,Romanticism,The Burning of the Houses of Parliament,23179.jpg
Claude Monet,Impressionism,"Rouen Cathedral, evening, harmony in brown",15562.jpg
Honore Daumier,Impressionism,Mother with Child,91548.jpg
George Frederick Watts,Symbolism,"Time, Death and Judgement",90623.jpg
Francesco Hayez,Romanticism,Bathing nymphs,24340.jpg
Zdislav Beksinski,Surrealism,Untitled,22879.jpg
Mikhail Vrubel,Symbolism,Fallen Demon,1885.jpg
Pieter de Hooch,Baroque,Two women with a child in court,97043.jpg
Gustave Loiseau,Post-Impressionism,Rue a Ennery,33283.jpg
Paul Revere,Rococo,Landing of Troops ,4370.jpg
Honore Daumier,Romanticism,Comedy scene (scene from Molière),36633.jpg
Guido Reni,Baroque,Charity,81498.jpg
Honore Daumier,Realism,Leaving School,957.jpg
Gustave Dore,Romanticism,Saul and the Witch of Endor,94058.jpg
Vincent van Gogh,Post-Impressionism,On the Outskirts of Paris,25955.jpg
Paula Modersohn-Becker,Expressionism,Old Woman in the Garden,89707.jpg
Paul Cezanne,Impressionism,Road,100283.jpg
Paul Cezanne,Impressionism,Self-portrait in front of pink background,100152.jpg
Paul Cezanne,Romanticism,The Abduction,3486.jpg
Vincent van Gogh,Post-Impressionism,Japanese Vase with Roses and Anemones,53388.jpg
Claude Monet,Impressionism,"Weeping Willow, Giverny",37160.jpg
John Everett Millais,Realism,Portrait of John Everett Millais,88516.jpg
William Holman Hunt,Romanticism,Portrait of John Everett Millais,41031.jpg
Edgar Degas,Impressionism,Singer in Green,93521.jpg
Caspar David Friedrich,Romanticism,Riesengebirge,22152.jpg
Paula Modersohn-Becker,Expressionism,Self portrait in front of flowering trees,39702.jpg
Vincent van Gogh,Post-Impressionism,Les Alyscamps,85049.jpg
Edgar Degas,Impressionism,Head of a Young Woman,78280.jpg
Paula Modersohn-Becker,Expressionism,Head of a little girl (Elsbeth),64979.jpg
Ernst Ludwig Kirchner,Expressionism,Study on Red Tart,50112.jpg
Pieter de Hooch,Baroque,A woman and a child on a Bleichwiese,68879.jpg
David Burliuk,Realism,A Lakeshore,7275.jpg
Winslow Homer,Realism,"Long Branch, New Jersey",100541.jpg
Karl Bodmer,Romanticism,View of the Godesburg and the Seven Mountains,97396.jpg
Honore Daumier,Realism,The Republic,97994.jpg
Caspar David Friedrich,Romanticism,The Sea of Ice,22774.jpg
George Frederick Watts,Romanticism,Choosing,97952.jpg
Pieter de Hooch,Baroque,The Courtyard of a House in Delft,66255.jpg
Jean-Marc Nattier,Rococo,Die Liebenden,102828.jpg
Heinrich Schonfeld,Baroque,Hochzeit zu Kana,29724.jpg
Luis Dourdil,Expressionism,Mural,1559.jpg
Vincent van Gogh,Realism,Backyards of Old Houses in Antwerp in the Snow,67895.jpg
Francisco Goya,Romanticism,The Meadow of San Isidro on his Feast Day,94051.jpg
Thomas Gainsborough,Rococo,"James Maitland, 8th Earl of Lauderdale",99818.jpg
Edgar Degas,Impressionism,Edmond and Thérèse Morbilli,11295.jpg
Edwin Henry Landseer,Romanticism,"Elizabeth Vassall Fox, Lady Holland Henry Richard Vassall Fox, 3rd Baron Holland Mrs Brown",78308.jpg
Suzanne Valadon,Post-Impressionism,Women in white stockings,14061.jpg
Serge Sudeikin,Expressionism,Apple Picking,66162.jpg
Ferdinand Hodler,Art Nouveau (Modern),Swearing to the right,52876.jpg
Raoul Dufy,Post-Impressionism,The Woman in Pink,78914.jpg
Edgar Degas,Impressionism,Edmond Duranty,7614.jpg
Camille Corot,Realism,Landscape,65691.jpg
Honore Daumier,Impressionism,Pierrot with Guitar,56418.jpg
Serge Sudeikin,Art Nouveau (Modern),"Costume study for a chancelor from ""The Magic Flute""",62391.jpg
Giovanni Battista Tiepolo,Rococo,Neptune Offering Gifts to Venice,103129.jpg
Honore Daumier,Romanticism,Painter dividing into sheets a paperboard of drawing,98820.jpg
William Turner,Romanticism,The big connection channel at Southall Mill,30734.jpg
Raoul Dufy,Post-Impressionism,Portrait of Mrs. Dufy,77677.jpg
Edgar Degas,Impressionism,The Dancing Examination,84017.jpg
Alfred Sisley,Realism,Avenue of trees in a small town,91491.jpg
Edgar Degas,Impressionism,"Ballet Class, the Dance Hall",44022.jpg
Konstantinos Volanakis,Realism,Moonlit harbour,64314.jpg
Koloman Moser,Art Nouveau (Modern),A modern Tantalus. Illustration for 'Meggendorfer leaves'.,87224.jpg
Paul Cezanne,Romanticism,The Black Marble Clock ,50999.jpg
Luc-Olivier Merson,Romanticism,Danse de fiançailles,46078.jpg
Gustav Klimt,Symbolism,Portrait of Rose von Rosthorn-Friedmann,99539.jpg
Paul Cezanne,Post-Impressionism,Still Life with Curtain and Flowered Pitcher,9156.jpg
James Tissot,Realism,The Captain and the Mate,97978.jpg
Henry Raeburn,Romanticism,John Playfair,13761.jpg
Camille Pissarro,Impressionism,The Hermitage at Pontoise,25299.jpg
Paul Cezanne,Impressionism,A Painter at Work,96231.jpg
Thomas Eakins,Realism,Captain Joseph Lapsley Wilson ,33623.jpg
Paula Modersohn-Becker,Expressionism,Marsh channel with peat barges,16901.jpg
Edgar Degas,Impressionism,"Tuileries, the woman with a parasol",42660.jpg
Dante Gabriel Rossetti,Romanticism,Annie Miller,22770.jpg
Rembrandt,Baroque,Self-portrait as the Apostle Paul,1680.jpg
Pierre-Auguste Renoir,Impressionism,By the Water (Near the Lake),3603.jpg
Edgar Degas,Impressionism,Helene Rouart in Her Father s Study,28594.jpg
Honore Daumier,Realism,Fighting Bricklayer,53074.jpg
Guido Reni,Baroque,Atalanta and Hippomenes,91789.jpg
John Constable,Romanticism,Cenotaph to the Memory of Sir Joshua Reynolds,58700.jpg
Eugene Boudin,Impressionism,Marina,90352.jpg
Gustave Courbet,Realism,"Seascape, the Poplar",33773.jpg
Sven Jonson,Surrealism,The Star,60289.jpg
Paul Cezanne,Romanticism,The Judgement of Paris,57427.jpg
Felix Vallotton ,Realism,Reclining Female Nude,52938.jpg
Ivan Bilibin,Art Nouveau (Modern),Cover for the collection of fairy tales,18894.jpg
William Turner,Romanticism,"Bonneville, Savoy with Mont Blanc",101496.jpg
Raoul Dufy,Post-Impressionism,Nude,73057.jpg
Raoul Dufy,Post-Impressionism,Naked ,69548.jpg
Edwin Henry Landseer,Romanticism,Deer and Deer Hounds in a Mountain Torrent,51988.jpg
Edgar Degas,Impressionism,Dancers in Blue,63091.jpg
Felix Vallotton ,Realism,Moroccan jug and pears,8508.jpg
Vincent van Gogh,Realism,"Still Life with Four Stone Bottles, Flask and White Cup ",62470.jpg
Henry Raeburn,Romanticism,Francis Horner,76890.jpg
Sven Jonson,Surrealism,Figur i landskap IV,99890.jpg
Theophile Steinlen,Art Nouveau (Modern),Dorf Im Gewitter ,34071.jpg
Ferdinand Georg Waldmüller,Romanticism,View to Mödling,64162.jpg
Before the Start,Impressionism,At the Races,82842.jpg
Arnold Böcklin,Symbolism,The Island of Life,59554.jpg
Ferdinand Hodler,Art Nouveau (Modern),Pulling soldiers,49077.jpg
William Shayer,Romanticism,A Rest by the Roadside,16319.jpg
Giovanni Battista Tiepolo,Rococo,Rachel Hiding the Idols,37631.jpg
Jean-Leon Gerome,Romanticism,Souvenir of Achéres,63892.jpg
Edgar Degas,Impressionism,Dancer Posing,23523.jpg
William Blake,Symbolism,Illustration to Milton`s On the Morning of Christ`s Nativity ,15525.jpg
William Hogarth,Rococo,William Jones,93937.jpg
Caspar David Friedrich,Romanticism,Funeral scene at the beach,54855.jpg
Thomas Gainsborough,Rococo,Portrait of the Artist's Daughters,37338.jpg
Vincent van Gogh,Post-Impressionism,Field with Flowers,47623.jpg
George Stubbs,Romanticism,A Chestnut Racehorse,54838.jpg
Edgar Degas,Impressionism,The Pedicure,95494.jpg
Jean-Baptiste-Simeon Chardin,Rococo,Self-Portrait with Spectacles,27962.jpg
Koloman Moser,Art Nouveau (Modern),The sketch of the round window art,52552.jpg
Edward Burne-Jones,Romanticism,The Wheel of Fortune,86255.jpg
Claude Monet,Impressionism,Landscape near Montecarlo,50977.jpg
Pieter de Hooch,Baroque,Cardplayers,84731.jpg
Edgar Degas,Impressionism,The Cup of Tea (Breakfast after Bathing),58952.jpg
Theophile Steinlen,Art Nouveau (Modern),Women Conversing  ,86741.jpg
Dante Gabriel Rossetti,Romanticism,Veronica Veronese,54385.jpg
Edgar Degas,Impressionism,The Toilette,26979.jpg
Pietro Longhi,Rococo,A Walk On Horseback,96214.jpg
Sven Jonson,Surrealism,The sunset,78703.jpg
Edgar Degas,Impressionism,Two Dancers on Stage,20745.jpg
Kimon Loghi,Impressionism,Sunset,58972.jpg
Allan Ramsay,Rococo,Sir Andrew Mitchell,57916.jpg
Ferdinand Hodler,Art Nouveau (Modern),Swearing to the front,91187.jpg
Edgar Degas,Impressionism,The Absinthe Drinker,5701.jpg
John Atkinson Grimshaw,Romanticism,"Blackman Street, London",32737.jpg
Le Nain brothers,Baroque,Mary Magdalene in Meditation,25870.jpg
August Macke,Expressionism,Portrait with apples (Portrait of the Artist's Wife),55593.jpg
Camille Corot,Realism,Portrait of a Gentleman,84508.jpg
Theodore Gericault,Romanticism,The Epsom Derby,5458.jpg
Claude Monet,Impressionism,Trees in Bloom,38252.jpg
Edgar Degas,Impressionism,"After the Bath, Woman Drying Herself ",76222.jpg
Francesco Hayez,Romanticism,Back view of a bather,99707.jpg
Claude Monet,Impressionism,The Church at Varengeville,34888.jpg
Claude Monet,Impressionism,The Promenade near Limetz,11308.jpg
Le Nain brothers,Baroque,The Forging,7394.jpg
Caspar David Friedrich,Romanticism,Chalk Cliffs on Rügen,55896.jpg
Theophile Steinlen,Art Nouveau (Modern),Seated Nude ,48284.jpg
Theophile Steinlen,Realism,Les Veuves De Courrieres  ,88812.jpg
Odilon Redon,Realism,The Red Poppy ,18076.jpg
Arthur Hughes,Romanticism,Self-portrait,71862.jpg
Camille Corot,Realism,"The Solitude. Recollection of Vigen, Limousin",54582.jpg
Giovanni Domenico Tiepolo,Rococo,"Mars, Venus and Cupid",98192.jpg
Konstantinos Volanakis,Impressionism,Before dusk,70292.jpg
Margareta Sterian,Expressionism,Among the Muddy Volcanoes,14399.jpg
Claude Monet,Impressionism,The Mannerport near Etretat,86389.jpg
Gustav Klimt,Art Nouveau (Modern),Chruch in Cassone,16871.jpg
Auguste Herbin,Post-Impressionism,Paysage cubiste ,93339.jpg
George Frederick Watts,Symbolism,Eve Repentant,86320.jpg
Paul Cezanne,Impressionism,The Obstpfluckerin,40130.jpg
Konstantinos Volanakis,Realism,Elegant figures at the shore,61312.jpg
Alfred Sisley,Impressionism,The Loing at Moret,4808.jpg
Francisco Goya,Romanticism,The Third of May 1808 (Execution of the Defenders of Madrid) ,21957.jpg
Louise Elisabeth Vigee Le Brun,Rococo,Portrait of Madame du Barry ,83290.jpg
Edgar Degas,Impressionism,Diego Martelli ,97509.jpg
Johannes Vermeer,Baroque,A young woman seated at a virginal (A Lady Seated at a Virginal),60071.jpg
Claude Monet,Impressionism,Grainstack at Sunset,9865.jpg
August Macke,Expressionism,Sunny way,73262.jpg
Gustav Klimt,Art Nouveau (Modern),The Three Ages of Woman,30419.jpg
Rembrandt,Baroque,Jeremiah mourning over the Destruction of Jerusalem,18870.jpg
Thomas Gainsborough,Rococo,Joseph Gibbs,64110.jpg
Giovanni Domenico Tiepolo,Rococo,Apollo and Diana,87958.jpg
Vase with Fifteen Sunflowers,Post-Impressionism,Still Life,46066.jpg
William-Adolphe Bouguereau,Realism,Dream of Spring,20316.jpg
Theophile Steinlen,Realism,Cats on the Sofa,14390.jpg
Theophile Steinlen,Realism,La Rue Caulaincourt  ,102948.jpg
Kimon Loghi,Impressionism,The Lake in the Forest,15127.jpg
Thomas Gainsborough,Rococo,WC Stringer Lawrence,78602.jpg
Childe Hassam,Impressionism,Surf and Rocks,24766.jpg
Edgar Degas,Impressionism,Self Portrait in a Soft Hat,95079.jpg
Gustav Klimt,Symbolism,Sonja Knips,58834.jpg
Vincent van Gogh,Post-Impressionism,Portrait of the Postman Joseph Roulin,10639.jpg
Henry Raeburn,Romanticism,John Home,39534.jpg
Theophile Steinlen,Art Nouveau (Modern),Nude with disheveled hair  ,101348.jpg
David Burliuk,Post-Impressionism,Duty boats in the bay,48691.jpg
Rudolf von Alt,Romanticism,Torquato Tassos Vaterhaus in Sorrent bei Neapel,47949.jpg
Thomas Gainsborough,Rococo,Portrait of Johann Christian Bach,37109.jpg
Ivan Kramskoy,Realism,D. I. Mendeleev,41261.jpg
Caspar David Friedrich,Romanticism,The stages of life,60737.jpg
Dumitru Ghiatza,Post-Impressionism,Winter Landscape,17274.jpg
Theophile Steinlen,Realism,Massaida  ,7402.jpg
Ferdinand Hodler,Symbolism,Lauterbrunnen Valley and dust stream in the moonlight,72583.jpg
Vincent van Gogh,Post-Impressionism,Wheat Field with Sheaves and Arles in the Background ,25444.jpg
David Wilkie,Romanticism,Portrait of King William IV (1765-1837) ,98443.jpg
Thomas Gainsborough,Rococo,Portrait of David Garrick,85867.jpg
George Frederick Watts,Symbolism,She Shall be Called Woman,10963.jpg
Charles-Francois Daubigny,Realism,Washerwomen at the Oise River near Valmondois,94961.jpg
Margareta Sterian,Expressionism,Easter in the Village,92152.jpg
Honore Daumier,Romanticism,Advice to a Young Artist,87423.jpg
Thomas Gainsborough,Rococo,"Portrait of John Russell, 4th Duke of Bedford",76091.jpg
Theophile Steinlen,Art Nouveau (Modern),Les Blanchisseuses ,5923.jpg
James Tissot,Realism,Hide and Seek,5900.jpg
Bernardo Bellotto,Rococo,The Fortress of Konigstein,68518.jpg
Thomas Gainsborough,Rococo,John Henderson,3198.jpg
Berthe Morisot,Impressionism,Hanging the Laundry out to Dry,81334.jpg
Camille Corot,Realism,The Artist's Studio,9513.jpg
Camille Corot,Realism,In the Forest of Fontainebleau,12934.jpg
Felix Vallotton ,Art Nouveau (Modern),Portrait of Juliette Lacour (model),36821.jpg
Thomas Gainsborough,Rococo,Self portrait,38176.jpg
Camille Corot,Realism,Young Girl Reading,32599.jpg
Henri Fantin-Latour,Realism,Still Life,45167.jpg
Camille Corot,Realism,Bridge on the Saône River at Mâcon,36748.jpg
Eugene Boudin,Realism,The Beach at Villerville,30144.jpg
Caspar David Friedrich,Romanticism,The Watzmann,32386.jpg
Paul Cezanne,Post-Impressionism,Tulips in a Vase,53821.jpg
Henry Raeburn,Romanticism,Hugh William Williams,95437.jpg
John Singer Sargent,Realism,Madame X (also known as Madame Pierre Gautreau),11988.jpg
Henry Raeburn,Romanticism,Henry Mackenzie,21624.jpg
Koloman Moser,Post-Impressionism,Primmeln in the basket,70962.jpg
Ferdinand Hodler,Art Nouveau (Modern),Unity,66642.jpg
Dante Gabriel Rossetti,Romanticism,Venus Verticordia,17484.jpg
Francisco Goya,Romanticism,"Still life, plucked turkey and pan with fish",94649.jpg
Rembrandt,Baroque,Self-portrait,99375.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,Madame Poupoule at Her Dressing Table,89047.jpg
Benjamin West,Rococo,William Markham,9271.jpg
Raoul Dufy,Post-Impressionism,Landscape in Falaise,68067.jpg
Edgar Degas,Impressionism,Jockeys before the Start with Flagpoll,43448.jpg
Koloman Moser,Post-Impressionism,Parrot tulips bloomed,58184.jpg
Ferdinand Hodler,Art Nouveau (Modern),Pulling soldiers,25512.jpg
William-Adolphe Bouguereau,Realism,Teen and Children,28623.jpg
Koloman Moser,Art Nouveau (Modern),Flower pot and ceramic jug,66430.jpg
Caspar David Friedrich,Romanticism,Oak tree in the snow,19876.jpg
Caspar David Friedrich,Romanticism,The dreamer,9378.jpg
Theophile Steinlen,Art Nouveau (Modern),Landscape of Belmont  ,35574.jpg
Franz Stuck,Symbolism,Wind and wave,94182.jpg
Giovanni Battista Tiepolo,Rococo,Apollo leads Frederick Barbarossa Beatrix of Burgundy,32558.jpg
August Macke,Expressionism,Stroller,9887.jpg
Koloman Moser,Art Nouveau (Modern),Character study of Venus in the Grotto,28415.jpg
Paul Cezanne,Post-Impressionism,Moulin de la Couleuvre at Pontoise,76335.jpg
Koloman Moser,Art Nouveau (Modern),Kolo Moser,34390.jpg
Jean-Baptiste-Simeon Chardin,Rococo,Self-portrait wearing Glasses,7698.jpg
Vincent van Gogh,Post-Impressionism,Still Life Vase with Rose-Mallows,31328.jpg
Caspar David Friedrich,Romanticism,Neubrandenburg,31761.jpg
James Tissot,Realism,Ball on Shipboard,51237.jpg
Edgar Degas,Impressionism,Ballet Dancers in the Wings,3266.jpg
Johannes Vermeer,Baroque,A lady writing ,57675.jpg
Paul Serusier,Post-Impressionism,Still Life,73793.jpg
Thomas Eakins,Realism,Anatomical studies,57472.jpg
Allan Ramsay,Rococo,"Philip Dormer Stanhope, 4th Earl of Chesterfield",49578.jpg
Jacob Jordaens,Baroque,The Lamentation,95693.jpg
Ferdinand Hodler,Realism,Autumn Evening,22865.jpg
Gustave Moreau,Symbolism,Victim,96863.jpg
August Macke,Expressionism,Street with church in Kandern,65885.jpg
Theophile Steinlen,Art Nouveau (Modern),Seated Nude from Behind ,90211.jpg
Vincent van Gogh,Realism,Head of a Young Man,10446.jpg
Clara Peeters,Baroque,"Table with Orange, Olives and Pie",57862.jpg
Jean-Honore Fragonard,Rococo,The Music Lesson ,49384.jpg
Sven Jonson,Surrealism,Signs in the sky,65938.jpg
Edgar Degas,Impressionism,Seated Woman pulling her glove,71777.jpg
Giovanni Domenico Tiepolo,Rococo,"Two Peasant Women and a Child Seen from Behind, from the 'Foresteria' (Guesthouse)",42481.jpg
Jean-Leon Gerome,Romanticism,Lion Snapping at a Butterfly,2444.jpg
Esaias van de Velde,Baroque,Winter scene with skaters,60446.jpg
John Ruskin,Romanticism,Fribourg Suisse ,90386.jpg
Max Liebermann,Impressionism,"The Surgeon, Ferdinand Sauerbruch",74279.jpg
Koloman Moser,Art Nouveau (Modern),Drafts for metal relief,68154.jpg
Edgar Degas,Impressionism,Ballet Scene from Robert la Diable,80726.jpg
Jacob Jordaens,Baroque,Portrait of Johan Wierts,11163.jpg
Franz Stuck,Art Nouveau (Modern),Salome,42767.jpg
Margareta Sterian,Expressionism,"Park Descending Towards Harlem, New York",78327.jpg
Robert Julian Onderdonk,Impressionism,Bluebonnets at Late Afternoon,30593.jpg
Edgar Degas,Impressionism,"Dancers, Pink and Green",1171.jpg
Vincent van Gogh,Post-Impressionism,Portrait of Eugene Boch,57934.jpg
Pieter de Hooch,Baroque,Woman with a Child and a Maid in an Interior,101003.jpg
Edouard Manet,Realism,The Port of Bordeaux,54826.jpg
Vincent van Gogh,Post-Impressionism,The Garden of Doctor Gachet at Auvers-sur-Oise,33956.jpg
Gustav Klimt,Art Nouveau (Modern),Watersnakes,40689.jpg
Margareta Sterian,Expressionism,Bride's Run,61906.jpg
Gustave Courbet,Realism,Le Chateau de Thoraise,81393.jpg
Gosta Adrian-Nilsson,Surrealism,Komposition med gren,46786.jpg
Adolphe Joseph Thomas Monticelli,Romanticism,As You Like It,68612.jpg
Diego Velazquez,Baroque,Portrait of Pope Innocent X,29114.jpg
George Frederick Watts,Symbolism,Creation,55377.jpg
Vasily Tropinin,Romanticism,Kiseleva,100142.jpg
Isaac van Ostade,Baroque,The Halt at the Inn,97418.jpg
Ivan Bilibin,Art Nouveau (Modern),Illustration for the poem 'The Tale of the Golden Cockerel' by Alexander Pushkin,96198.jpg
Jacek Malczewski,Symbolism,Enslavement,44050.jpg
William Hogarth,Baroque,Scholars at a Lecture,54312.jpg
Konstantin Yuon,Art Nouveau (Modern),Italian Hall Ostankino Palace,85746.jpg
Berthe Morisot,Impressionism,Summer's Day,57522.jpg
William Turner,Romanticism,"Raby Castle, Residence of the Earl of Darlington",63725.jpg
Raphael Kirchner,Art Nouveau (Modern),Vivienne Segal,18691.jpg
Antoine Watteau,Rococo,The Halt during the Chase,54831.jpg
Francois Boucher,Rococo,The Enchanted Home A Pastoral Landscape Surmounted by Cupid,64761.jpg
Gustav Klimt,Symbolism,Painted composition draft Jusisprudenz,83795.jpg
Ivan Bilibin,Art Nouveau (Modern),"Illustration for the poem ""The Tale of the Fisherman and the Fish"" by Alexander Pushkin",98120.jpg
Peter Paul Rubens,Baroque,Portrait of Gaspard Schoppins,61512.jpg
David Wilkie,Romanticism,"Unknown man, formerly known as James Northcote",93348.jpg
Jean-Honore Fragonard,Rococo,To the Genius of Franklin,78201.jpg
Paula Modersohn-Becker,Post-Impressionism,"Still life with plant, lemon and orange",19104.jpg
Felicien Rops,Symbolism,The Temptation of St. Anthony,46411.jpg
Vincent van Gogh,Post-Impressionism,Sower,87410.jpg
Theophile Steinlen,Art Nouveau (Modern),Laundresses ,68981.jpg
Koloman Moser,Art Nouveau (Modern),Head strips,7058.jpg
Theophile Steinlen,Realism,Ouvriers Sortant de L'Usine ,65050.jpg
Koloman Moser,Art Nouveau (Modern),"Reproduction template for the middle part of the leaf love for Gerlach's allegories. New Series, Plate 30",40904.jpg
Paul Cezanne,Post-Impressionism,"Still life, pitcher and fruit",62512.jpg
Jacob Jordaens,Baroque,Portrait of the wife of Johan Wierts  ,54459.jpg
Gustave Caillebotte,Impressionism,"Paris, a Rainy Day",68102.jpg
Honore Daumier,Realism,"The Miller, His Son and the Donkey",73097.jpg
Theophile Steinlen,Art Nouveau (Modern),Spaniard ,66848.jpg
Margareta Sterian,Expressionism,The Alarm,83780.jpg
Koloman Moser,Art Nouveau (Modern),Two dancers,5274.jpg
Claude Monet,Impressionism,"Rouen Cathedral, Magic in Blue",95505.jpg
Antoine Watteau,Rococo,Entertainment countryside,86590.jpg
James Tissot,Realism,Too Early,69883.jpg
Carl Larsson,Art Nouveau (Modern),Brita and me,65261.jpg
Rudolf von Alt,Romanticism,Hoher Dachstein from Lower Gosau,51307.jpg
Pavel Fedotov,Realism,"Encore, Encore",5021.jpg
Anita Malfatti,Post-Impressionism,La rentrée,86518.jpg
Odilon Redon,Symbolism,Silence,19349.jpg
Giovanni Domenico Tiepolo,Rococo,"The Winter Walk, from the Room of the Gothic Pavilion, in the Foresteria",84315.jpg
Clara Peeters,Baroque,"Still Life with Nuts, Candy and Flowers",5971.jpg
Thomas Eakins,Realism,Study for an Arcadian,63984.jpg
Vincent van Gogh,Post-Impressionism,"Harvest at La Crau, with Montmajour in the Background",5742.jpg
Theophile Steinlen,Art Nouveau (Modern),Dans Le Tramway,99676.jpg
Koloman Moser,Art Nouveau (Modern),Drafts for metal relief,102744.jpg
William Shayer,Romanticism,Scene in the Isle of Wight,31783.jpg
Theodor Severin Kittelsen,Realism,Ingrids have,94224.jpg
Anita Malfatti,Post-Impressionism,Itanhaém,21408.jpg
James Tissot,Realism,The Thames,72182.jpg
Giovanni Domenico Tiepolo,Rococo,Head of an old man,97989.jpg
Jacob Jordaens,Baroque,King Candaules of Lydia Showing his Wife to Gyges ,28731.jpg
Edgar Degas,Impressionism,Before the Curtain Call,64247.jpg
Alfred Stevens,Romanticism,Reverie,92680.jpg
Jacob Jordaens,Baroque,The veneration of the Eucharist,66914.jpg
Paula Modersohn-Becker,Expressionism,Girls in the garden with glass ball (Elsbeth),8543.jpg
Edgar Degas,Impressionism,Harlequin and Colombina,37227.jpg
John Ruskin,Romanticism,"The Kapellbrücke, Lucerne ",82235.jpg
Paul Cezanne,Post-Impressionism,Harlequin ,47557.jpg
James Tissot,Realism,The Tedious Story ,65626.jpg
Ferdinand Hodler,Art Nouveau (Modern),Forest with a mountain stream,41088.jpg
Kimon Loghi,Impressionism,The Tree,82422.jpg
Koloman Moser,Art Nouveau (Modern),Early spring. Illustration to a poem by Rainer Maria Rilke.,5961.jpg
Cornelis Springer,Romanticism,A View of a Town along the Rhine,63276.jpg
Gustav Klimt,Symbolism,Mother with Children,51112.jpg
Alfred Sisley,Impressionism,Watermill near Moret by Alfred Sisley,38309.jpg
Theophile Steinlen,Art Nouveau (Modern),Arguments Frappants,32529.jpg
Edgar Degas,Impressionism,The Morning Bath,57321.jpg
Gustav Klimt,Art Nouveau (Modern),Amalie Zuckerkandl,86239.jpg
Theophile Steinlen,Realism,Dix Assassinats Pour Un Sou ,63613.jpg
Vincent van Gogh,Post-Impressionism,Haystacks in Provence,63410.jpg
Gustav Klimt,Art Nouveau (Modern),Water Castle,20120.jpg
Gustav Klimt,Symbolism,The Swamp,66857.jpg
Henri de Toulouse-Lautrec,Post-Impressionism,"At the Circus Fernando, the rider",41532.jpg
Gustav Klimt,Symbolism,Park of Schönbrunn,77302.jpg
Gustav Klimt,Art Nouveau (Modern),Schloss Kammer on the Attersee IV,94499.jpg
Felicien Rops,Symbolism,Women,75747.jpg
Caspar David Friedrich,Romanticism,Coast Scene,38302.jpg
Honore Daumier,Realism,Camille Desmoulins in the Palais Royal,5991.jpg
Felicien Rops,Symbolism,The Scraps,69734.jpg
Gustav Klimt,Art Nouveau (Modern),Italian horticultural landscape,37570.jpg
Gustav Klimt,Symbolism,Island in the Attersee,5431.jpg
Gustav Klimt,Art Nouveau (Modern),Landscape Garden (Meadow in Flower),21182.jpg
Konstantin Yuon,Art Nouveau (Modern),Palm Sunday Bazaar on Red Square,56739.jpg
Gustav Klimt,Art Nouveau (Modern),"Schloss Kammer am Attersee, II",17730.jpg
Gustav Klimt,Art Nouveau (Modern),Fir Forest I,67315.jpg
Gustav Klimt,Symbolism,Beech Grove I,66047.jpg
Jacob Jordaens,Baroque,Portrait of Magdalena de Cuyper,86172.jpg
Ivan Bilibin,Art Nouveau (Modern),Illustration for the magazine Golden Fleece,21108.jpg
Gustave Moreau,Symbolism,Saint George,12380.jpg
Theophile Steinlen,Realism,La Greve des Juifs  ,2278.jpg
Gustav Klimt,Art Nouveau (Modern),Untitled,64441.jpg
